iter	Passed	Remaining
647	44347	92527
648	44408	92443
649	44480	92381
650	44546	92309
651	44612	92234
652	44687	92180
653	44766	92134
654	44853	92103
655	44923	92039
656	44998	91982
657	45082	91946
658	45156	91889
659	45287	91948
660	45422	92013
661	45497	91957
662	45574	91905
663	45643	91837
664	45733	91811
665	45826	91790
666	45907	91745
667	45995	91716
668	46079	91676
669	46201	91714
670	46307	91718
671	46392	91681
672	46481	91650
673	46563	91606
674	46647	91567
675	46725	91515
676	46803	91464
677	46873	91396
678	46944	91331
679	47016	91266
680	47096	91218
681	47177	91173
682	47256	91122
683	47333	91067
684	47401	90997
685	47481	90947
686	47639	91049
687	47713	90988
688	47790	90933
689	47876	90895
690	47966	90865
691	48041	90806
692	48110	90737
693	48180	90667
694	48256	90610
695	48327	90544
696	48439	90554
697	48534	90531
698	48614	90483
699	48694	90433
700	48775	90384
701	48853	90330
702	48932	90277
703	49000	90206
704	49073	90142
705	49144	90075
706	49216	90010
707	49287	89942
708	49359	89877
709	49427	89804
710	49496	89733
711	49564	89661
712	49641	89604
713	49718	89549
714	49846	89584
715	49915	89513
716	49995	89461
717	50096	89447
718	50177	89398
719	50264	89358
720	50351	89319
721	50443	89289
722	50521	89233
723	50606	89190
724	50765	89276
725	50912	89341
726	51052	89394
727	51146	89365
728	51241	89338
729	51473	89549
730	51592	89564
731	51687	89534
732	51770	89485
733	51846	89425
734	51928	89373
735	52081	89445
736	52178	89418
737	52289	89415
738	52407	89425
739	52521	89427
740	52642	89442
741	52791	89502
742	52965	89607
743	53159	89742
744	53232	89673
745	53301	89598
746	53381	89540
747	53458	89478
748	53656	89619
749	53753	89588
750	53826	89519
751	53907	89463
752	53988	89407
753	54060	89335
754	54126	89255
755	54197	89181
756	54303	89167
757	54429	89183
758	54499	89109
759	54570	89035
760	54641	88962
761	54712	88889
762	54779	88809
763	54853	88741
764	54936	88688
765	55021	88637
766	55110	88592
767	55210	88567
768	55386	88661
769	55479	88622
770	55574	88587
771	55664	88543
772	55742	88480
773	55813	88407
774	55883	88332
775	55957	88262
776	56033	88196
777	56182	88245
778	56274	88204
779	56355	88145
780	56573	88301
781	56741	88377
782	56819	88312
783	56903	88258
784	56987	88203
785	57068	88144
786	57166	88110
787	57274	88092
788	57374	88061
789	57463	88014
790	57625	88078
791	57724	88043
792	57835	88029
793	57942	88008
794	58029	87956
795	58108	87892
796	58185	87826
797	58266	87764
798	58350	87707
799	58426	87640
800	58504	87573
801	58594	87525
802	58669	87456
803	58749	87392
804	58871	87392
805	59013	87422
806	59110	87384
807	59207	87345
808	59287	87281
809	59367	87219
810	59445	87151
811	59520	87081
812	59597	87013
813	59738	87039
814	59921	87124
815	60014	87080
816	60105	87031
817	60218	87014
818	60333	87001
819	60444	86980
820	60550	86953
821	60631	86890
822	60720	86837
823	60855	86852
824	60962	86825
825	61062	86788
826	61237	86858
827	61322	86799
828	61413	86749
829	61489	86678
830	61652	86729
831	61754	86693
832	61835	86629
833	61931	86584
834	62020	86531
835	62169	86561
836	62262	86512
837	62340	86443
838	62422	86379
839	62509	86323
840	62596	86266
841	62689	86216
842	62797	86188
843	62883	86129
844	62963	86062
845	63040	85991
846	63119	85922
847	63201	85858
848	63281	85791
849	63384	85755
850	63509	85749
851	63583	85673
852	63655	85595
853	63741	85536
854	63831	85481
855	63924	85431
856	64001	85360
857	64078	85288
858	64153	85214
859	64231	85144
860	64360	85141
861	64427	85055
862	64492	84968
863	64561	84885
864	64627	84799
865	64696	84718
866	64765	84635
867	64833	84553
868	64907	84477
869	64980	84399
870	65050	84318
871	65114	84231
872	65180	84145
873	65249	84062
874	65318	83980
875	65383	83893
876	65447	83805
877	65515	83723
878	65607	83670
879	65731	83658
880	65813	83592
881	65879	83507
882	65947	83423
883	66018	83345
884	66081	83255
885	66145	83166
886	66209	83079
887	66270	82986
888	66342	82910
889	66420	82838
890	66500	82771
891	66608	82737
892	66692	82675
893	66786	82624
894	66878	82571
895	66957	82501
896	67039	82435
897	67125	82375
898	67218	82322
899	67293	82247
900	67364	82168
901	67432	82085
902	67516	82021
903	67594	81951
904	67672	81880
905	67750	81808
906	67883	81804
907	67960	81732
908	68035	81657
909	68116	81589
910	68187	81510
911	68264	81438
912	68355	81383
913	68438	81317
914	68518	81249
915	68596	81178
916	68668	81099
917	68816	81110
918	68890	81034
919	68966	80960
920	69032	80875
921	69108	80801
922	69233	80785
923	69310	80712
924	69397	80651
